home,geo_area_id,device,population,devices_pct
2201,13505,1,29884,0.0
2201,13601,3,29884,0.01
2201,13602,1,29884,0.0
2201,13603,1,29884,0.0
2201,13604,8,29884,0.03
2202,13128,1,21,4.760000000000001
2203,13101,10,1043,0.96
2203,13102,2,1043,0.19
2203,13104,4,1043,0.38
2203,13105,1,1043,0.1
2203,13107,1,1043,0.1
2203,13108,3,1043,0.29
2203,13109,1,1043,0.1
2203,13110,7,1043,0.67
2203,13111,1,1043,0.1
2203,13113,1,1043,0.1
2203,13114,13,1043,1.25
2203,13115,2,1043,0.19
2203,13116,2,1043,0.19
2203,13118,1,1043,0.1
2203,13119,8,1043,0.77
2203,13120,6,1043,0.58
2203,13122,7,1043,0.67
2203,13123,7,1043,0.67
2203,13124,2,1043,0.19
2203,13125,4,1043,0.38
2203,13126,1,1043,0.1
2203,13128,1,1043,0.1
2203,13130,4,1043,0.38
2203,13132,3,1043,0.29
2203,13201,6,1043,0.58
2203,13301,6,1043,0.58
2203,13401,1,1043,0.1
2203,13402,1,1043,0.1
2203,13501,2,1043,0.19
2203,13504,1,1043,0.1
2203,13601,4,1043,0.38
2203,13602,2,1043,0.19
2203,13603,1,1043,0.1
2203,13604,1,1043,0.1
2203,13605,4,1043,0.38
2301,13101,4,3741,0.11
2301,13104,2,3741,0.05
2301,13105,1,3741,0.03
2301,13106,1,3741,0.03
2301,13108,1,3741,0.03
2301,13109,3,3741,0.08
2301,13110,2,3741,0.05
2301,13114,1,3741,0.03
2301,13116,1,3741,0.03
2301,13117,1,3741,0.03
2301,13118,1,3741,0.03
2301,13119,6,3741,0.16
2301,13120,1,3741,0.03
2301,13122,1,3741,0.03
2301,13125,2,3741,0.05
2301,13129,1,3741,0.03
2301,13130,1,3741,0.03
2301,13131,2,3741,0.05
2301,13201,1,3741,0.03
2301,13301,2,3741,0.05
2301,13401,3,3741,0.08
2301,13402,1,3741,0.03
2301,13605,1,3741,0.03
2302,13108,1,1862,0.05
2302,13112,1,1862,0.05
2302,13113,1,1862,0.05
2302,13117,1,1862,0.05
2302,13119,5,1862,0.27
2302,13120,1,1862,0.05
2302,13123,1,1862,0.05
2302,13127,2,1862,0.11
2302,13201,3,1862,0.16
2302,13202,2,1862,0.11
2302,13301,1,1862,0.05
2302,13401,3,1862,0.16
2302,13402,1,1862,0.05
2302,13501,1,1862,0.05
2302,13601,1,1862,0.05
3101,13101,55,39609,0.13999999999999999
3101,13102,2,39609,0.01
3101,13103,6,39609,0.02
3101,13104,2,39609,0.01
3101,13105,7,39609,0.02
3101,13106,13,39609,0.03
3101,13107,8,39609,0.02
3101,13108,4,39609,0.01
3101,13109,4,39609,0.01
3101,13110,26,39609,0.06999999999999999
3101,13111,6,39609,0.02
3101,13112,3,39609,0.01
3101,13113,7,39609,0.02
3101,13114,34,39609,0.09
3101,13115,11,39609,0.03
3101,13116,2,39609,0.01
3101,13117,2,39609,0.01
3101,13118,10,39609,0.03
3101,13119,21,39609,0.05
3101,13120,20,39609,0.05
3101,13121,6,39609,0.02
3101,13122,9,39609,0.02
3101,13123,42,39609,0.11
3101,13124,13,39609,0.03
3101,13125,6,39609,0.02
3101,13126,4,39609,0.01
3101,13127,8,39609,0.02
3101,13128,4,39609,0.01
3101,13129,3,39609,0.01
3101,13130,5,39609,0.01
3101,13131,3,39609,0.01
3101,13132,4,39609,0.01
3101,13201,21,39609,0.05
3101,13202,2,39609,0.01
3101,13301,20,39609,0.05
3101,13302,6,39609,0.02
3101,13303,3,39609,0.01
3101,13401,14,39609,0.04
3101,13402,6,39609,0.02
3101,13403,2,39609,0.01
3101,13404,5,39609,0.01
3101,13501,10,39609,0.03
3101,13502,2,39609,0.01
3101,13503,2,39609,0.01
3101,13601,6,39609,0.02
3101,13602,1,39609,0.0
3101,13603,1,39609,0.0
3101,13604,1,39609,0.0
3102,13101,21,5120,0.41000000000000003
3102,13103,1,5120,0.02
3102,13104,2,5120,0.04
3102,13105,1,5120,0.02
3102,13106,6,5120,0.12
3102,13108,1,5120,0.02
3102,13109,5,5120,0.1
3102,13110,11,5120,0.21
3102,13112,3,5120,0.06
3102,13113,4,5120,0.08
3102,13114,13,5120,0.25
3102,13115,2,5120,0.04
3102,13116,1,5120,0.02
3102,13117,3,5120,0.06
3102,13118,4,5120,0.08
3102,13119,22,5120,0.43
3102,13120,7,5120,0.13999999999999999
3102,13122,1,5120,0.02
3102,13123,9,5120,0.18
3102,13124,4,5120,0.08
3102,13125,4,5120,0.08
3102,13126,4,5120,0.08
3102,13127,2,5120,0.04
3102,13128,6,5120,0.12
3102,13129,1,5120,0.02
3102,13130,4,5120,0.08
3102,13132,1,5120,0.02
3102,13201,9,5120,0.18
3102,13301,5,5120,0.1
3102,13302,1,5120,0.02
3102,13401,3,5120,0.06
3102,13402,1,5120,0.02
3102,13403,1,5120,0.02
3102,13501,4,5120,0.08
3102,13601,1,5120,0.02
3102,13603,2,5120,0.04
3102,13604,4,5120,0.08
3102,13605,1,5120,0.02
3103,13101,4,5655,0.06999999999999999
3103,13103,1,5655,0.02
3103,13104,1,5655,0.02
3103,13106,2,5655,0.04
3103,13112,2,5655,0.04
3103,13113,1,5655,0.02
3103,13115,2,5655,0.04
3103,13116,1,5655,0.02
3103,13119,2,5655,0.04
3103,13120,5,5655,0.09
3103,13122,1,5655,0.02
3103,13123,2,5655,0.04
3103,13126,2,5655,0.04
3103,13130,2,5655,0.04
3103,13201,2,5655,0.04
3103,13301,6,5655,0.11
3103,13302,2,5655,0.04
3103,13303,1,5655,0.02
3103,13401,4,5655,0.06999999999999999
3103,13402,1,5655,0.02
3103,13501,1,5655,0.02
3201,13101,6,3528,0.16999999999999998
3201,13106,1,3528,0.03
3201,13109,1,3528,0.03
3201,13110,1,3528,0.03
3201,13112,1,3528,0.03
3201,13113,2,3528,0.06
3201,13114,1,3528,0.03
3201,13115,1,3528,0.03
3201,13117,2,3528,0.06
3201,13119,2,3528,0.06
3201,13121,1,3528,0.03
3201,13122,2,3528,0.06
3201,13123,6,3528,0.16999999999999998
3201,13127,2,3528,0.06
3201,13128,1,3528,0.03
3201,13130,3,3528,0.09
3201,13132,2,3528,0.06
3201,13201,3,3528,0.09
3201,13203,1,3528,0.03
3201,13301,3,3528,0.09
3201,13302,2,3528,0.06
3201,13401,1,3528,0.03
3201,13404,1,3528,0.03
3201,13601,1,3528,0.03
3201,13604,1,3528,0.03
3202,13101,6,3711,0.16
3202,13106,7,3711,0.19
3202,13109,1,3711,0.03
3202,13110,2,3711,0.05
3202,13111,1,3711,0.03
3202,13113,3,3711,0.08
3202,13114,3,3711,0.08
3202,13115,2,3711,0.05
3202,13116,1,3711,0.03
3202,13119,2,3711,0.05
3202,13120,3,3711,0.08
3202,13122,1,3711,0.03
3202,13123,3,3711,0.08
3202,13124,1,3711,0.03
3202,13125,3,3711,0.08
3202,13127,1,3711,0.03
3202,13130,2,3711,0.05
3202,13131,1,3711,0.03
3202,13132,1,3711,0.03
3202,13201,3,3711,0.08
3202,13301,1,3711,0.03
3202,13302,1,3711,0.03
3202,13401,1,3711,0.03
3202,13402,1,3711,0.03
3202,13403,1,3711,0.03
3202,13501,4,3711,0.11
3301,13101,14,10406,0.13
3301,13103,1,10406,0.01
3301,13104,1,10406,0.01
3301,13106,1,10406,0.01
3301,13107,1,10406,0.01
3301,13109,2,10406,0.02
3301,13110,3,10406,0.03
3301,13111,1,10406,0.01
